disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh
2268,1999-08-05T00:00:00.000Z,OSINO FIRE,1999-08-05T00:00:00.000Z,1999-08-05T00:00:00.000Z,Fire Suppression,NV,Nevada                        ,Fire,1999-11-10T00:00:00.000Z,2003-05-29T00:00:00.000Z,2001-03-08T00:00:00.000Z,a14ea6ccbc86507cefe1e7a6185ec886,2018-03-09T18:42:00.897Z
1289,1999-09-01T00:00:00.000Z,PA - FLOODING 8/20/99,1999-08-20T00:00:00.000Z,1999-08-21T00:00:00.000Z,Major Disaster,PA,Pennsylvania                  ,Severe Storm(s),1999-08-27T00:00:00.000Z,2004-05-27T00:00:00.000Z,2004-04-27T00:00:00.000Z,1d870979040a406e987abb2f4a1a9297,2018-03-09T18:42:00.915Z
1291,1999-09-09T00:00:00.000Z,HURRICANE DENNIS ,1999-08-29T00:00:00.000Z,1999-09-11T00:00:00.000Z,Major Disaster,NC,North Carolina                ,Hurricane,1999-09-08T00:00:00.000Z,2006-08-01T00:00:00.000Z,2006-07-20T00:00:00.000Z,0a7a9255d38bb026ba4ba64160e7ac5f,2018-03-09T18:42:00.914Z
1278,1999-05-28T00:00:00.000Z,SEVERE STORMS AND FLASH FLOODING,1999-05-16T00:00:00.000Z,1999-05-17T00:00:00.000Z,Major Disaster,IL,Illinois                      ,Severe Storm(s),1999-05-28T00:00:00.000Z,2007-06-07T00:00:00.000Z,2007-05-09T00:00:00.000Z,6d274ca503936f66dbd9672140a189f3,2018-03-09T18:42:00.918Z
2265,1999-07-03T00:00:00.000Z,MIRA LOMA FIRE,1999-07-02T00:00:00.000Z,1999-07-04T00:00:00.000Z,Fire Suppression,NV,Nevada                        ,Fire,1999-11-10T00:00:00.000Z,2002-12-30T00:00:00.000Z,2002-12-16T00:00:00.000Z,61f71a96e5a83e3203ebf0b29c456738,2018-03-09T18:42:00.917Z
3149,1999-09-18T00:00:00.000Z,HURRICANE FLOYD EMERGENCY DECLARATIONS,1999-09-16T00:00:00.000Z,1999-09-18T00:00:00.000Z,Emergency,NY,New York                      ,Hurricane,1999-09-18T00:00:00.000Z,2001-09-09T00:00:00.000Z,2001-03-21T00:00:00.000Z,195496d250a29b0b2d632e9b9e7e7dc8,2018-03-09T18:42:00.913Z
1286,1999-08-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,1999-08-06T00:00:00.000Z,1999-08-09T00:00:00.000Z,Major Disaster,NE,Nebraska                      ,Severe Storm(s),1999-08-19T00:00:00.000Z,2005-09-16T00:00:00.000Z,2005-08-25T00:00:00.000Z,f69011596d54b3d58e00da79d7c73b88,2018-03-09T18:42:00.916Z
1292,1999-09-16T00:00:00.000Z,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,1999-09-15T00:00:00.000Z,1999-11-02T00:00:00.000Z,Major Disaster,NC,North Carolina                ,Hurricane,1999-09-16T00:00:00.000Z,2014-05-08T00:00:00.000Z,2014-05-07T00:00:00.000Z,31abf01a50e7f50ef5c848a0d761f0c5,2018-03-09T18:42:00.913Z
2279,1999-09-18T00:00:00.000Z,AL - FAYETTE FIRE - 09/18/99,1999-09-17T00:00:00.000Z,,Fire Suppression,AL,Alabama                       ,Fire,2002-06-28T00:00:00.000Z,2002-11-14T00:00:00.000Z,2002-10-25T00:00:00.000Z,eb975e2d5a208b0743091d356d4f8765,2018-03-09T18:42:00.912Z
2267,1999-08-05T00:00:00.000Z,UNIONVILLE FIRE,1999-08-05T00:00:00.000Z,,Fire Suppression,NV,Nevada                        ,Fire,1999-11-10T00:00:00.000Z,2003-05-29T00:00:00.000Z,2001-03-08T00:00:00.000Z,be5db3d8483e0e9837f1343c1e59d75d,2018-03-09T18:42:00.916Z
