,disasternumber,declarationdate,incidenttype,statecode,totalnumberiaapproved,totalamountihpapproved
582,1708,,,,572.0,2428002.26
583,1650,,,,9309.0,31528398.09
584,1675,,,,,
585,1700,,,,1443.0,2613838.46
586,1725,,,,,
587,1654,,,,,
588,1679,,,,531.0,3655288.86
589,1728,,,,,
590,1704,,,,,
591,1670,,,,937.0,2979765.22
592,1729,,,,1499.0,4468107.41
593,1695,,,,1202.0,3509042.32
594,1664,,,,2635.0,9498514.38
595,1720,,,,5495.0,18462462.78
596,1689,,,,,
597,1649,,,,8144.0,20691866.81
598,1714,,,,,
599,1585,,,,,
600,1674,,,,,
601,1610,,,,379.0,1102655.35
602,1699,,,,2777.0,9846774.22
603,1635,,,,756.0,2611696.48
604,1724,,,,2000.0,5101498.73
605,1661,,,,,
606,1595,,,,21150.0,21564056.01
607,1686,,,,313.0,1354036.12
608,1620,,,,,
609,1711,,,,2272.0,18925702.89
610,1646,,,,,
611,1736,,,,,
612,1600,,,,,
613,1671,,,,1012.0,5388213.23
614,1625,,,,,
615,1696,,,,,
616,1651,,,,5790.0,8830355.16
617,1721,,,,,
618,1676,,,,,
619,1591,,,,,
620,1701,,,,,
621,1726,,,,58.0,432005.4
622,1596,,,,,
623,1611,,,,,
624,1616,,,,,
625,1636,,,,346.0,1230390.88
626,1642,,,,8234.0,18613563.29
627,1662,,,,4211.0,12105107.36
628,1667,,,,,
629,1687,,,,352.0,1669966.27
630,1712,,,,2130.0,10969558.71
631,1621,,,,,
632,1647,,,,,
633,1606,,,,252022.0,618379758.99
634,1672,,,,,
635,1697,,,,643.0,4865458.46
636,1631,,,,441.0,1587654.75
637,1722,,,,557.0,1658875.8
638,1657,,,,,
639,1682,,,,,
640,1707,,,,,
641,1732,,,,2999.0,4922508.64
642,1692,,,,5215.0,12307474.22
643,1733,,,,1059.0,6402583.39
644,1717,,,,3853.0,19808888.8
645,1626,,,,,
646,1652,,,,,
647,1677,,,,,
648,1702,,,,3415.0,6932866.4
649,1727,,,,,
650,1747,,,,917.0,4800659.42
651,1742,,,,,
652,1737,,,,,
653,1745,,,,730.0,4069837.78
654,1767,,,,,
655,1755,,,,263.0,1261470.96
656,1751,,,,3200.0,11670465.18
657,1752,,,,,
658,1757,,,,,
659,1777,,,,,
660,1782,,,,,
661,1765,,,,,
662,1741,,,,,
663,1761,,,,1002.0,2458564.0
664,1766,,,,10278.0,56449366.63
665,1740,,,,1995.0,7674152.07
666,1762,,,,134.0,419744.26
667,1787,,,,,
668,1746,,,,210.0,1466605.44
669,1792,,,,12278.0,63878324.09
670,1817,,,,2059.0,9506708.04
671,1842,,,,1284.0,6501748.46
672,1771,,,,1752.0,10024142.17
673,1796,,,,,
674,1821,,,,,
675,1846,,,,115.0,2055904.84
676,1807,,,,,
677,1812,,,,,
678,1832,,,,977.0,2961606.39
679,1837,,,,,
680,1857,,,,927.0,4626437.19
681,1862,,,,,
682,1786,,,,71206.0,216888044.03
683,1791,,,,121641.0,531866266.34
684,1811,,,,,
685,1816,,,,,
686,1836,,,,,
687,1841,,,,3176.0,15106854.42
688,1797,,,,,
689,1750,,,,369.0,1345162.7
690,1822,,,,,
691,1772,,,,,
692,1847,,,,1241.0,5417824.37
693,1760,,,,166.0,1642832.66
694,1776,,,,,
695,1756,,,,202.0,1469127.78
696,1801,,,,,
697,1802,,,,,
698,1826,,,,,
699,1827,,,,,
700,1851,,,,,
701,1852,,,,,
702,1781,,,,,
703,1806,,,,,
704,1831,,,,705.0,3220613.51
705,1856,,,,,
706,1867,,,,,
707,1872,,,,,
708,1892,,,,,
709,1770,,,,737.0,1560229.95
710,1790,,,,,
711,1795,,,,11107.0,36905735.96
712,1754,,,,,
713,1759,,,,,
714,1779,,,,,
715,1784,,,,,
716,1804,,,,,
717,1809,,,,2105.0,6869983.55
718,1829,,,,2993.0,7862984.44
719,1854,,,,,
720,1859,,,,4429.0,22780503.01
721,1879,,,,,
722,1884,,,,,
723,1743,,,,,
724,1748,,,,,
725,1882,,,,,
726,1780,,,,13402.0,34868169.3
727,1887,,,,,
728,1744,,,,541.0,4360723.47
729,1785,,,,5383.0,19216129.55
730,1769,,,,589.0,2619379.95
731,1749,,,,3481.0,13924227.09
732,1794,,,,1966.0,7176481.13
733,1774,,,,,
734,1819,,,,,
735,1799,,,,,
736,1844,,,,,
737,1824,,,,,
738,1869,,,,,
739,1849,,,,,
740,1894,,,,14743.0,37132716.72
741,1874,,,,,
742,1738,,,,199.0,1928655.92
743,1877,,,,,
744,1775,,,,,
745,1739,,,,,
746,1764,,,,164.0,549480.66
747,1789,,,,,
748,1814,,,,698.0,3674159.05
749,1839,,,,,
750,1864,,,,,
751,1889,,,,,
752,1753,,,,250.0,1598081.52
753,1800,,,,27935.0,64635964.92
754,1805,,,,,
755,1825,,,,,
756,1830,,,,676.0,2440267.06
757,1850,,,,,
758,1855,,,,7130.0,17693443.86
759,1875,,,,,
760,1880,,,,,
761,1763,,,,24881.0,138679472.9
762,1768,,,,23956.0,56679489.87
763,1788,,,,,
764,1793,,,,,
765,1813,,,,,
766,1818,,,,,
767,1838,,,,2875.0,13905805.19
768,1843,,,,590.0,5852701.19
769,1863,,,,,
770,1868,,,,,
771,1888,,,,,
772,1893,,,,1115.0,4373420.87
773,1876,,,,,
774,1881,,,,,
775,1810,,,,486.0,3839488.88
776,1815,,,,,
777,1835,,,,453.0,2075746.91
778,1840,,,,1913.0,7382877.18
779,1860,,,,,
780,1865,,,,,
781,1885,,,,,
782,1890,,,,,
783,1778,,,,,
784,1803,,,,,
785,1828,,,,,
786,1853,,,,,
787,1878,,,,,
788,1866,,,,,
789,1891,,,,,
790,1773,,,,1089.0,5367078.69
791,1798,,,,20110.0,29999815.09
792,1820,,,,105.0,1251943.17
793,1823,,,,,
794,1845,,,,,
795,1848,,,,,
796,1873,,,,,
797,1861,,,,,
798,1870,,,,,
799,1886,,,,,
800,1758,,,,381.0,2474245.11
801,1783,,,,,
802,1808,,,,,
803,1833,,,,804.0,4420415.46
804,1858,,,,13331.0,58951222.09
805,1883,,,,,
806,1871,,,,,
807,1904,,,,2364.0,5283702.22
808,1909,,,,30169.0,169303511.72
809,1931,,,,2617.0,10259307.7
810,1934,,,,,
811,1901,,,,,
