disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType
2934,6/29/2011,LITTLE LEWIS FIRE,6/28/2011,7/13/2011,Fire Management,NM,New Mexico                    ,Fire
2926,6/18/2011,POWERLINE FIRE ,6/18/2011,6/26/2011,Fire Management,TX,Texas                         ,Fire
2931,6/21/2011,WHITE HAT FIRE ,6/20/2011,7/1/2011,Fire Management,TX,Texas                         ,Fire
2932,6/24/2011,MEDICINE PARK FIRE,6/24/2011,6/29/2011,Fire Management,OK,Oklahoma                      ,Fire
4009,7/28/2011,SEVERE STORMS FLOODING AND TORNADOES,7/1/2011,7/11/2011,Major Disaster,MN,Minnesota                     ,Severe Storm(s)
2930,6/21/2011,BOYKEN ROAD FIRE ,6/20/2011,6/28/2011,Fire Management,TX,Texas                         ,Fire
4004,7/14/2011,SEVERE STORMS FLOODING MUDSLIDES AND LANDSLIDES,5/20/2011,6/8/2011,Major Disaster,PR,Puerto Rico                   ,Severe Storm(s)
2936,7/4/2011,SIMMONS ROAD FIRE,7/4/2011,,Fire Management,NC,North Carolina                ,Fire
1996,6/17/2011,SEVERE STORMS AND FLOODING,4/4/2011,7/22/2011,Major Disaster,MT,Montana                       ,Severe Storm(s)
1992,6/10/2011,ICE JAM AND FLOODING,5/8/2011,5/13/2011,Major Disaster,AK,Alaska                        ,Flood
2916,6/3/2011,SNYDER FIRE ,6/3/2011,6/11/2011,Fire Management,TX,Texas                         ,Fire
2914,6/2/2011,TEJANO CANYON FIRE ,6/2/2011,6/12/2011,Fire Management,TX,Texas                         ,Fire
1994,6/15/2011,SEVERE STORMS AND TORNADOES,6/1/2011,6/1/2011,Major Disaster,MA,Massachusetts                 ,Tornado
1991,6/7/2011,SEVERE STORMS AND FLOODING,4/19/2011,6/14/2011,Major Disaster,IL,Illinois                      ,Severe Storm(s)
2922,6/16/2011,GRAND MESA FIRE,6/16/2011,6/19/2011,Fire Management,TX,Texas                         ,Fire
2919,6/12/2011,MONUMENT FIRE,6/12/2011,6/26/2011,Fire Management,AZ,Arizona                       ,Fire
2911,5/29/2011,REIMER FIRE,5/29/2011,5/31/2011,Fire Management,TX,Texas                         ,Fire
1976,5/4/2011,SEVERE STORMS TORNADOES AND FLOODING,4/12/2011,5/20/2011,Major Disaster,KY,Kentucky                      ,Severe Storm(s)
2904,4/30/2011,WAGGONER RANCH FIRE ,4/29/2011,5/1/2011,Fire Management,TX,Texas                         ,Fire
2921,6/16/2011,SWEAT FARM AGAIN FIRE,6/16/2011,8/8/2011,Fire Management,GA,Georgia                       ,Fire
2918,6/12/2011,TRACK FIRE ,6/12/2011,7/28/2011,Fire Management,NM,New Mexico                    ,Fire
1983,5/11/2011,FLOODING,5/3/2011,6/17/2011,Major Disaster,MS,Mississippi                   ,Flood
2908,5/9/2011,MATT LOOP FIRE,5/9/2011,5/14/2011,Fire Management,TX,Texas                         ,Fire
1989,6/6/2011,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,5/22/2011,5/25/2011,Major Disaster,OK,Oklahoma                      ,Severe Storm(s)
2912,5/29/2011,PITT ROAD FIRE ,5/29/2011,6/1/2011,Fire Management,TX,Texas                         ,Fire
2920,6/15/2011,RACEPOND WILDFIRE,6/15/2011,7/27/2011,Fire Management,GA,Georgia                       ,Fire
2917,6/10/2011,WALLOW FIRE,6/10/2011,7/12/2011,Fire Management,NM,New Mexico                    ,Fire
2907,5/9/2011,HORSESHOE TWO FIRE,5/8/2011,6/21/2011,Fire Management,AZ,Arizona                       ,Fire
1981,5/10/2011,FLOODING,2/14/2011,7/20/2011,Major Disaster,ND,North Dakota                  ,Flood
2896,4/17/2011,BRYSON FIRE COMPLEX,4/15/2011,4/22/2011,Fire Management,TX,Texas                         ,Fire
2899,4/21/2011,148/2332 FIRE ,4/14/2011,4/17/2011,Fire Management,TX,Texas                         ,Fire
2909,5/22/2011,MOOSE MOUNTAIN FIRE,5/20/2011,6/2/2011,Fire Management,AK,Alaska                        ,Fire
2913,5/29/2011,STONE RIDGE FIRE,5/29/2011,6/1/2011,Fire Management,TX,Texas                         ,Fire
1993,6/10/2011,SEVERE STORMS FLOODING TORNADOES AND STRAIGHT-LINE WINDS,4/26/2011,5/8/2011,Major Disaster,NY,New York                      ,Flood
1995,6/15/2011,SEVERE STORMS AND FLOODING,4/23/2011,5/9/2011,Major Disaster,VT,Vermont                       ,Severe Storm(s)
2923,6/16/2011,DUCKETT FIRE,6/15/2011,6/24/2011,Fire Management,CO,Colorado                      ,Fire
1982,5/10/2011,SEVERE STORMS AND FLOODING,3/16/2011,5/25/2011,Major Disaster,MN,Minnesota                     ,Flood
1985,5/13/2011,SEVERE WINTER STORM AND SNOWSTORM,1/31/2011,2/5/2011,Major Disaster,OK,Oklahoma                      ,Severe Storm(s)
1988,5/27/2011,SEVERE STORMS AND FLOODING,4/21/2011,4/28/2011,Major Disaster,OK,Oklahoma                      ,Severe Storm(s)
1986,5/20/2011,SEVERE WINTER STORM,4/29/2011,5/1/2011,Major Disaster,ND,North Dakota                  ,Severe Storm(s)
2902,4/27/2011,SLOPE FIRE,4/26/2011,5/31/2011,Fire Management,FL,Florida                       ,Fire
1990,6/7/2011,SEVERE STORMS AND TORNADOES,5/21/2011,5/22/2011,Major Disaster,MN,Minnesota                     ,Severe Storm(s)
1977,5/5/2011,SEVERE STORMS TORNADOES AND STRAIGHT-LINE WINDS,4/9/2011,4/10/2011,Major Disaster,IA,Iowa                          ,Severe Storm(s)
1987,5/20/2011,FLOODING LANDSLIDES AND MUDSLIDES,3/31/2011,4/11/2011,Major Disaster,ID,Idaho                         ,Flood
2915,6/2/2011,WALLOW FIRE,6/1/2011,6/28/2011,Fire Management,AZ,Arizona                       ,Fire
2886,4/9/2011,HICKMAN FIRE ,4/9/2011,4/20/2011,Fire Management,TX,Texas                         ,Fire
2900,4/22/2011,THEDFORD FIRE,4/22/2011,,Fire Management,NE,Nebraska                      ,Fire
2893,4/16/2011,HOHERTZ FIRE,4/9/2011,5/12/2011,Fire Management,TX,Texas                         ,Fire
3320,5/4/2011,FLOODING,4/27/2011,6/17/2011,Emergency,MS,Mississippi                   ,Flood
1971,4/28/2011,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,4/15/2011,5/31/2011,Major Disaster,AL,Alabama                       ,Severe Storm(s)
2892,4/15/2011,WILDCAT FIRE,4/11/2011,5/4/2011,Fire Management,TX,Texas                         ,Fire
1980,5/9/2011,SEVERE STORMS TORNADOES AND FLOODING,4/19/2011,6/6/2011,Major Disaster,MO,Missouri                      ,Severe Storm(s)
1973,4/29/2011,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND ASSOCIATED FLOODING,4/27/2011,4/28/2011,Major Disaster,GA,Georgia                       ,Severe Storm(s)
1969,4/19/2011,SEVERE STORMS TORNADOES AND FLOODING,4/16/2011,4/16/2011,Major Disaster,NC,North Carolina                ,Severe Storm(s)
2885,4/9/2011,ROCKHOUSE FIRE ,4/9/2011,5/15/2011,Fire Management,TX,Texas                         ,Fire
1984,5/13/2011,FLOODING,3/11/2011,7/22/2011,Major Disaster,SD,South Dakota                  ,Flood
1975,5/2/2011,SEVERE STORMS TORNADOES AND ASSOCIATED FLOODING,4/14/2011,6/3/2011,Major Disaster,AR,Arkansas                      ,Severe Storm(s)
2901,4/27/2011,PLEASANT FARMS FIRE,4/26/2011,5/4/2011,Fire Management,TX,Texas                         ,Fire
2889,4/15/2011,COOPER MOUNTAIN RANCH FIRE ,4/11/2011,4/23/2011,Fire Management,TX,Texas                         ,Fire
2891,4/15/2011,WICHITA FIRE COMPLEX,4/15/2011,4/20/2011,Fire Management,TX,Texas                         ,Fire
2903,4/29/2011,OASIS PIPELINE FIRE ,4/26/2011,5/14/2011,Fire Management,TX,Texas                         ,Fire
2898,4/17/2011,PINNACLE FIRE ,4/17/2011,4/19/2011,Fire Management,TX,Texas                         ,Fire
1978,5/9/2011,SEVERE STORMS FLOODING TORNADOES AND STRAIGHT-LINE WINDS,4/4/2011,4/4/2011,Major Disaster,TN,Tennessee                     ,Severe Storm(s)
2905,4/30/2011,SISK ROAD FIRE ,4/29/2011,5/1/2011,Fire Management,TX,Texas                         ,Fire
2897,4/17/2011,TIRE FIRE,4/17/2011,4/21/2011,Fire Management,NM,New Mexico                    ,Fire
2887,4/10/2011,CLEVELAND FIRE ,4/9/2011,4/12/2011,Fire Management,OK,Oklahoma                      ,Fire
3321,5/4/2011,FLOODING,4/26/2011,6/7/2011,Emergency,TN,Tennessee                     ,Flood
3319,4/27/2011,SEVERE STORMS TORNADOES AND STRAIGHT-LINE WINDS,4/27/2011,5/31/2011,Emergency,AL,Alabama                       ,Severe Storm(s)
2890,4/15/2011,GOODYEAR PLANT FIRE,4/15/2011,4/19/2011,Fire Management,OK,Oklahoma                      ,Fire
2910,5/24/2011,CEED FIRE ,5/24/2011,5/31/2011,Fire Management,TX,Texas                         ,Fire
3322,5/6/2011,FLOODING,4/25/2011,7/7/2011,Emergency,LA,Louisiana                     ,Flood
1972,4/29/2011,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND ASSOCIATED FLOODING,4/15/2011,4/28/2011,Major Disaster,MS,Mississippi                   ,Severe Storm(s)
2894,4/16/2011,EAST SIDWYNICKS FIRE ,4/15/2011,4/18/2011,Fire Management,TX,Texas                         ,Fire
1974,5/1/2011,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND ASSOCIATED FLOODING,4/25/2011,4/28/2011,Major Disaster,TN,Tennessee                     ,Severe Storm(s)
2888,4/15/2011,PK WEST FIRE ,4/13/2011,5/12/2011,Fire Management,TX,Texas                         ,Fire
1970,4/22/2011,SEVERE STORMS TORNADOES AND STRAIGHT-LINE WINDS,4/14/2011,4/14/2011,Major Disaster,OK,Oklahoma                      ,Severe Storm(s)
2906,5/8/2011,GAGE HOLLAND FIRE,5/8/2011,5/19/2011,Fire Management,TX,Texas                         ,Fire
2895,4/16/2011,PK EAST FIRE,4/16/2011,5/4/2011,Fire Management,TX,Texas                         ,Fire
1979,5/9/2011,SEVERE STORMS STRAIGHT-LINE WINDS TORNADOES AND FLOODING,4/19/2011,6/7/2011,Major Disaster,TN,Tennessee                     ,Severe Storm(s)
1968,4/18/2011,TSUNAMI WAVES,3/11/2011,3/11/2011,Major Disaster,CA,California                    ,Tsunami
1965,3/31/2011,SEVERE STORMS TORNADOES AND FLOODING,2/28/2011,3/1/2011,Major Disaster,TN,Tennessee                     ,Severe Storm(s)
1962,3/24/2011,SEVERE WINTER STORM AND EXTREME COLD TEMPERATURES,2/1/2011,2/5/2011,Major Disaster,NM,New Mexico                    ,Severe Storm(s)
3318,4/7/2011,FLOODING,4/5/2011,7/1/2011,Emergency,ND,North Dakota                  ,Flood
1967,4/8/2011,TSUNAMI WAVES,3/11/2011,3/11/2011,Major Disaster,HI,Hawaii                        ,Tsunami
2881,4/3/2011,BATES FIELD FIRE,4/3/2011,4/6/2011,Fire Management,TX,Texas                         ,Fire
2880,4/3/2011,WHITE FIRE ,4/3/2011,4/20/2011,Fire Management,NM,New Mexico                    ,Fire
1964,3/25/2011,TSUNAMI WAVE SURGE,3/11/2011,3/11/2011,Major Disaster,OR,Oregon                        ,Tsunami
2867,3/11/2011,ENMIN FIRE,3/11/2011,3/17/2011,Fire Management,TX,Texas                         ,Fire
2871,3/12/2011,GOLDSBY FIRE,3/12/2011,3/15/2011,Fire Management,OK,Oklahoma                      ,Fire
2882,4/5/2011,EL CENIZO FIRE,4/4/2011,4/8/2011,Fire Management,TX,Texas                         ,Fire
2875,3/25/2011,ELAN CHURCH ROAD FIRE,3/25/2011,4/25/2011,Fire Management,GA,Georgia                       ,Fire
2879,4/3/2011,GUYMON FIRE ,4/3/2011,4/5/2011,Fire Management,OK,Oklahoma                      ,Fire
1961,3/23/2011,SEVERE WINTER STORM AND SNOWSTORM,1/31/2011,2/5/2011,Major Disaster,MO,Missouri                      ,Severe Storm(s)
2874,3/24/2011,OSAGE COUNTY FIRE COMPLEX,3/24/2011,3/27/2011,Fire Management,OK,Oklahoma                      ,Fire
2877,4/3/2011,CRYSTAL FIRE,4/3/2011,4/11/2011,Fire Management,CO,Colorado                      ,Fire
1963,3/25/2011,SEVERE WINTER STORM FLOODING LANDSLIDES AND MUDSLIDES,1/11/2011,1/21/2011,Major Disaster,WA,Washington                    ,Severe Storm(s)
2866,3/8/2011,QUAIL RIDGE FIRE,3/7/2011,3/11/2011,Fire Management,NM,New Mexico                    ,Fire
1960,3/17/2011,SEVERE WINTER STORM AND SNOWSTORM,1/31/2011,2/3/2011,Major Disaster,IL,Illinois                      ,Snow
2872,3/12/2011,SHAWNEE FIRE,3/12/2011,3/15/2011,Fire Management,OK,Oklahoma                      ,Fire
2884,4/9/2011,SWENSON FIRE,4/6/2011,4/23/2011,Fire Management,TX,Texas                         ,Fire
2883,4/6/2011,JONES SPENCER FIRE ,4/6/2011,4/9/2011,Fire Management,OK,Oklahoma                      ,Fire
1949,11/24/2010,SEVERE STORMS FLOODING ROCKSLIDES AND MUDSLIDES ASSOC. WITH TS TOMAS,11/8/2010,11/12/2010,Major Disaster,VI,Virgin Islands of the U.S.    ,Severe Storm(s)
1957,2/18/2011,SEVERE WINTER STORM AND SNOWSTORM,12/26/2010,12/27/2010,Major Disaster,NY,New York                      ,Severe Storm(s)
1934,8/17/2010,SEVERE STORMS FLOODING AND TORNADOES,6/12/2010,7/31/2010,Major Disaster,MO,Missouri                      ,Severe Storm(s)
1936,9/13/2010,SEVERE STORMS AND FLOODING,7/25/2010,8/9/2010,Major Disaster,NM,New Mexico                    ,Flood
1943,10/14/2010,SEVERE STORMS TORNADOES AND STRAIGHT-LINE WINDS,9/16/2010,9/16/2010,Major Disaster,NY,New York                      ,Tornado
1953,2/1/2011,SEVERE STORMS AND FLOODING,12/12/2010,12/19/2010,Major Disaster,ME,Maine                         ,Severe Storm(s)
2865,2/28/2011,MITCHELL FIRE COMPLEX,2/27/2011,,Fire Management,TX,Texas                         ,Fire
2854,8/27/2010,SLIDE CREEK WILDFIRE,8/26/2010,8/31/2010,Fire Management,WA,Washington                    ,Fire
1940,10/4/2010,SEVERE STORMS AND FLOODING,7/20/2010,8/7/2010,Major Disaster,AZ,Arizona                       ,Severe Storm(s)
1950,12/21/2010,SEVERE STORMS AND FLOODING,10/3/2010,10/6/2010,Major Disaster,AZ,Arizona                       ,Severe Storm(s)
1959,3/7/2011,SEVERE WINTER STORM AND SNOWSTORM,1/11/2011,1/12/2011,Major Disaster,MA,Massachusetts                 ,Snow
1935,8/19/2010,SEVERE STORMS AND FLOODING,7/19/2010,8/7/2010,Major Disaster,IL,Illinois                      ,Severe Storm(s)
1944,10/21/2010,SEVERE STORMS AND FLOODING,9/22/2010,10/9/2010,Major Disaster,WI,Wisconsin                     ,Severe Storm(s)
3316,2/2/2011,SEVERE WINTER STORM,1/31/2011,2/5/2011,Emergency,OK,Oklahoma                      ,Severe Storm(s)
2863,2/27/2011,MATADOR FIRE,2/27/2011,,Fire Management,TX,Texas                         ,Fire
3314,9/1/2010,HURRICANE EARL,9/1/2010,9/4/2010,Emergency,NC,North Carolina                ,Hurricane
1938,9/23/2010,SEVERE STORMS AND FLOODING,7/21/2010,7/30/2010,Major Disaster,SD,South Dakota                  ,Severe Storm(s)
1948,11/5/2010,SEVERE STORMS FLOODING MUDSLIDES AND LANDSLIDES,10/1/2010,10/8/2010,Major Disaster,VI,Virgin Islands of the U.S.    ,Severe Storm(s)
2860,2/20/2011,SMITH FIRE,2/19/2011,,Fire Management,VA,Virginia                      ,Fire
2868,3/11/2011,HARRAH FIRE,3/11/2011,3/14/2011,Fire Management,OK,Oklahoma                      ,Fire
1937,9/15/2010,SEVERE STORMS AND FLOODING,8/17/2010,8/21/2010,Major Disaster,TN,Tennessee                     ,Severe Storm(s)
1945,10/21/2010,SEVERE STORMS FLOODING TORNADO AND STRAIGHT-LIN,9/13/2010,9/14/2010,Major Disaster,NE,Nebraska                      ,Severe Storm(s)
2862,2/27/2011,WILLOW CREEK SOUTH FIRE COMPLEX,2/27/2011,,Fire Management,TX,Texas                         ,Fire
2870,3/12/2011,BIG TRICKLE RANCH FIRE,3/11/2011,3/17/2011,Fire Management,TX,Texas                         ,Fire
2859,9/19/2010,MACHINE GUN FIRE ,9/19/2010,,Fire Management,UT,Utah                          ,Fire
1947,11/2/2010,SEVERE STORMS AND FLOODING,9/22/2010,9/23/2010,Major Disaster,SD,South Dakota                  ,Severe Storm(s)
2876,3/25/2011,MOSLEY ROAD FIRE,3/24/2011,,Fire Management,GA,Georgia                       ,Fire
1966,4/5/2011,SEVERE WINTER STORM AND SNOWSTORM,1/31/2011,2/3/2011,Major Disaster,WI,Wisconsin                     ,Snow
1958,3/3/2011,SNOWSTORM,1/11/2011,1/12/2011,Major Disaster,CT,Connecticut                   ,Snow
2864,2/27/2011,TANGLEWOOD FIRE COMPLEX,2/27/2011,,Fire Management,TX,Texas                         ,Fire
1939,9/28/2010,HURRICANE EARL,8/29/2010,8/31/2010,Major Disaster,VI,Virgin Islands of the U.S.    ,Hurricane
1956,2/17/2011,SEVERE WINTER STORM FLOODING MUDSLIDES LANDSLIDES AND DEBRIS FLOWS,1/13/2011,1/21/2011,Major Disaster,OR,Oregon                        ,Severe Storm(s)
2857,9/12/2010,RESERVOIR ROAD FIRE,9/12/2010,9/17/2010,Fire Management,CO,Colorado                      ,Fire
3317,2/3/2011,SEVERE WINTER STORM,1/31/2011,2/5/2011,Emergency,MO,Missouri                      ,Severe Storm(s)
3315,9/2/2010,HURRICANE EARL,9/1/2010,9/4/2010,Emergency,MA,Massachusetts                 ,Hurricane
1955,2/11/2011,SEVERE WINTER STORM AND FLOODING,12/20/2010,12/24/2010,Major Disaster,UT,Utah                          ,Flood
2856,9/10/2010,GLENVIEW FIRE,9/9/2010,9/11/2010,Fire Management,CA,California                    ,Fire
2873,3/21/2011,INDIAN GULCH FIRE,3/21/2011,3/26/2011,Fire Management,CO,Colorado                      ,Fire
1952,1/26/2011,SEVERE WINTER STORMS FLOODING AND DEBRIS AND MUD FLOWS,12/17/2010,1/4/2011,Major Disaster,CA,California                    ,Flood
1951,12/22/2010,SEVERE STORM,12/1/2010,12/5/2010,Major Disaster,VT,Vermont                       ,Severe Storm(s)
2853,8/26/2010,HURD FIRE,8/26/2010,9/3/2010,Fire Management,ID,Idaho                         ,Fire
2852,8/24/2010,POST FIRE,8/24/2010,8/29/2010,Fire Management,CA,California                    ,Fire
2869,3/11/2011,MIDWEST CITY FIRE COMPLEX,3/11/2011,3/14/2011,Fire Management,OK,Oklahoma                      ,Fire
1941,10/13/2010,SEVERE STORMS AND FLOODING,9/22/2010,10/14/2010,Major Disaster,MN,Minnesota                     ,Severe Storm(s)
1946,10/26/2010,SEVERE STORMS FLOODING MUDSLIDES AND LANDSLIDES ASSOC W TS OTTO,10/4/2010,10/8/2010,Major Disaster,PR,Puerto Rico                   ,Severe Storm(s)
1942,10/14/2010,SEVERE STORMS FLOODING AND STRAIGHT-LINE WINDS ,9/27/2010,10/1/2010,Major Disaster,NC,North Carolina                ,Severe Storm(s)
2878,4/3/2011,HASKELL COUNTY FIRE,4/3/2011,4/4/2011,Fire Management,KS,Kansas                        ,Fire
1954,2/4/2011,SEVERE WINTER STORM AND SNOWSTORM,12/26/2010,12/27/2010,Major Disaster,NJ,New Jersey                    ,Snow
2861,2/20/2011,COFFMAN FIRE,2/19/2011,,Fire Management,VA,Virginia                      ,Fire
2855,9/6/2010,FOUR MILE CANYON FIRE,9/6/2010,9/17/2010,Fire Management,CO,Colorado                      ,Fire
2858,9/15/2010,CANYON FIRE,9/14/2010,9/20/2010,Fire Management,CA,California                    ,Fire
2851,7/30/2010,CROWN FIRE,7/29/2010,8/3/2010,Fire Management,CA,California                    ,Fire
2850,7/28/2010,WEST FIRE,7/27/2010,8/2/2010,Fire Management,CA,California                    ,Fire
1920,7/1/2010,SEVERE STORMS AND FLOODING,3/12/2010,4/1/2010,Major Disaster,ME,Maine                         ,Severe Storm(s)
1924,7/15/2010,SEVERE STORMS AND FLOODING,6/1/2010,8/29/2010,Major Disaster,NE,Nebraska                      ,Severe Storm(s)
1921,7/2/2010,SEVERE STORMS TORNADOES AND FLOODING,6/17/2010,6/26/2010,Major Disaster,MN,Minnesota                     ,Tornado
1932,8/10/2010,SEVERE STORMS FLOODING AND TORNADOES,6/7/2010,7/21/2010,Major Disaster,KS,Kansas                        ,Severe Storm(s)
1927,7/27/2010,SEVERE STORMS AND FLOODING,6/2/2010,6/10/2010,Major Disaster,ID,Idaho                         ,Severe Storm(s)
1925,7/23/2010,SEVERE STORMS FLOODING AND MUDSLIDES,7/17/2010,7/30/2010,Major Disaster,KY,Kentucky                      ,Severe Storm(s)
1911,5/7/2010,EARTHQUAKE,4/4/2010,7/4/2010,Major Disaster,CA,California                    ,Earthquake
1902,4/21/2010,SEVERE STORMS ICE JAMS AND FLOODING,3/6/2010,4/3/2010,Major Disaster,NE,Nebraska                      ,Flood
1923,7/14/2010,FLOODING,6/4/2010,6/18/2010,Major Disaster,WY,Wyoming                       ,Flood
1933,8/11/2010,SEVERE STORMS TORNADOES AND FLOODING,7/20/2010,7/24/2010,Major Disaster,WI,Wisconsin                     ,Severe Storm(s)
1922,7/10/2010,SEVERE STORMS AND FLOODING,6/15/2010,7/30/2010,Major Disaster,MT,Montana                       ,Severe Storm(s)
2843,6/2/2010,RIO FIRE,6/1/2010,,Fire Management,NM,New Mexico                    ,Fire
1916,5/14/2010,SEVERE STORMS TORNADOES AND FLOODING,5/1/2010,5/2/2010,Major Disaster,MS,Mississippi                   ,Severe Storm(s)
2845,6/19/2010,HARDY FIRE,6/19/2010,6/30/2010,Fire Management,AZ,Arizona                       ,Fire
2849,7/27/2010,BULL FIRE,7/26/2010,7/30/2010,Fire Management,CA,California                    ,Fire
1930,7/29/2010,SEVERE STORMS FLOODING AND TORNADOES,6/1/2010,8/31/2010,Major Disaster,IA,Iowa                          ,Severe Storm(s)
1926,7/26/2010,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,6/13/2010,6/15/2010,Major Disaster,OK,Oklahoma                      ,Severe Storm(s)
1929,7/29/2010,SEVERE STORMS TORNADOES AND FLOODING,6/16/2010,6/24/2010,Major Disaster,SD,South Dakota                  ,Severe Storm(s)
1907,4/30/2010,FLOODING,2/26/2010,7/15/2010,Major Disaster,ND,North Dakota                  ,Flood
3313,6/29/2010,TROPICAL STORM ALEX,6/27/2010,8/14/2010,Emergency,TX,Texas                         ,Hurricane
1919,6/24/2010,SEVERE STORMS AND FLOODING,5/26/2010,5/31/2010,Major Disaster,PR,Puerto Rico,Severe Storm(s)
3310,3/19/2010,FLOODING,3/1/2010,4/26/2010,Emergency,MN,Minnesota                     ,Flood
1897,4/2/2010,SEVERE STORMS AND FLOODING,3/12/2010,4/15/2010,Major Disaster,NJ,New Jersey                    ,Severe Storm(s)
1910,5/6/2010,SEVERE WINTER STORMS AND SNOWSTORMS,2/5/2010,2/11/2010,Major Disaster,MD,Maryland                      ,Snow
2844,6/9/2010,MAALAEA FIRE,6/8/2010,6/13/2010,Fire Management,HI,Hawaii                        ,Fire
1888,3/18/2010,SEVERE WINTER STORMS AND FLOODING,1/18/2010,1/22/2010,Major Disaster,AZ,Arizona                       ,Severe Storm(s)
1896,3/31/2010,SEVERE WINTER STORMS AND SNOWSTORMS,2/5/2010,2/11/2010,Major Disaster,DE,Delaware                      ,Snow
1905,4/27/2010,SEVERE WINTER STORMS AND SNOWSTORMS,2/5/2010,2/11/2010,Major Disaster,VA,Virginia                      ,Snow
1914,5/13/2010,SEVERE WINTER STORM,4/2/2010,4/2/2010,Major Disaster,SD,South Dakota                  ,Severe Storm(s)
1883,3/5/2010,SEVERE WINTER STORM,1/28/2010,1/30/2010,Major Disaster,OK,Oklahoma                      ,Severe Ice Storm
1891,3/25/2010,SEVERE WINTER STORM,2/23/2010,3/2/2010,Major Disaster,ME,Maine                         ,Severe Storm(s)
1908,5/3/2010,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,4/24/2010,4/25/2010,Major Disaster,AL,Alabama                       ,Severe Storm(s)
1917,5/24/2010,SEVERE STORMS TORNADOES AND STRAIGHT-LINE WINDS,5/10/2010,5/13/2010,Major Disaster,OK,Oklahoma                      ,Severe Storm(s)
1931,8/3/2010,HURRICANE ALEX,6/30/2010,8/14/2010,Major Disaster,TX,Texas                         ,Hurricane
1895,3/29/2010,SEVERE STORMS AND  FLOODING,3/12/2010,4/26/2010,Major Disaster,MA,Massachusetts                 ,Severe Storm(s)
2842,5/24/2010,CABAZON FIRE,5/23/2010,,Fire Management,NM,New Mexico                    ,Fire
2847,7/1/2010,CATHEDRAL FIRE,7/1/2010,7/6/2010,Fire Management,NV,Nevada                        ,Fire
1894,3/29/2010,SEVERE STORMS AND  FLOODING,3/12/2010,4/12/2010,Major Disaster,RI,Rhode Island                  ,Severe Storm(s)
1903,4/23/2010,SEVERE WINTER STORMS AND SNOWSTORMS,2/5/2010,2/11/2010,Major Disaster,WV,West Virginia                 ,Snow
1892,3/29/2010,SEVERE WINTER STORM,2/23/2010,3/3/2010,Major Disaster,NH,New Hampshire                 ,Severe Storm(s)
1880,3/2/2010,SEVERE WINTER STORM,1/19/2010,1/26/2010,Major Disaster,IA,Iowa                          ,Severe Storm(s)
1915,5/13/2010,FLOODING ,3/10/2010,6/20/2010,Major Disaster,SD,South Dakota                  ,Flood
1885,3/9/2010,SEVERE WINTER STORMS AND SNOWSTORM,12/22/2009,1/8/2010,Major Disaster,KS,Kansas                        ,Severe Storm(s)
1893,3/29/2010,SEVERE STORMS FLOODING MUDSLIDES AND LANDSLIDES,3/12/2010,4/9/2010,Major Disaster,WV,West Virginia                 ,Severe Storm(s)
1906,4/29/2010,SEVERE STORMS TORNADOES AND FLOODING,4/23/2010,4/24/2010,Major Disaster,MS,Mississippi                   ,Severe Storm(s)
1909,5/4/2010,SEVERE STORMS FLOODING STRAIGHT-LINE WINDS AND TORNADOES ,4/30/2010,5/18/2010,Major Disaster,TN,Tennessee                     ,Severe Storm(s)
1884,3/8/2010,SEVERE WINTER STORMS FLOODING AND DEBRIS AND MUD FLOWS,1/17/2010,2/6/2010,Major Disaster,CA,California                    ,Severe Storm(s)
3309,3/14/2010,FLOODING,2/26/2010,4/30/2010,Emergency,ND,North Dakota                  ,Flood
1913,5/12/2010,SEVERE STORMS AND FLOODING,3/14/2010,3/31/2010,Major Disaster,NH,New Hampshire                 ,Severe Storm(s)
1900,4/19/2010,FLOODING,3/1/2010,4/26/2010,Major Disaster,MN,Minnesota                     ,Flood
1890,3/24/2010,SEVERE WINTER STORMS AND SNOWSTORMS,2/5/2010,2/11/2010,Major Disaster,DC,District of Columbia          ,Severe Storm(s)
1877,2/25/2010,SEVERE WINTER STORMS AND SNOWSTORM,12/23/2009,12/27/2009,Major Disaster,IA,Iowa                          ,Severe Storm(s)
2846,6/20/2010,SHULTZ FIRE,6/20/2010,6/26/2010,Fire Management,AZ,Arizona                       ,Fire
1904,4/23/2010,SEVERE STORMS AND FLOODING,3/12/2010,5/17/2010,Major Disaster,CT,Connecticut                   ,Severe Storm(s)
1898,4/16/2010,SEVERE WINTER STORMS AND SNOWSTORMS,2/5/2010,2/11/2010,Major Disaster,PA,Pennsylvania                  ,Snow
1928,7/27/2010,SEVERE STORMS AND FLOODING,5/12/2010,5/13/2010,Major Disaster,IA,Iowa                          ,Severe Storm(s)
1887,3/10/2010,SEVERE WINTER STORM,1/20/2010,1/26/2010,Major Disaster,SD,South Dakota                  ,Severe Storm(s)
