disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType
4285,10/10/2016,HURRICANE MATTHEW,10/4/2016,10/24/2016,Major Disaster,NC,North Carolina                ,Hurricane
4264,3/14/2016,SEVERE WINTER STORM AND SNOWSTORM,1/22/2016,1/24/2016,Major Disaster,NJ,New Jersey                    ,Severe Storm(s)
4242,10/15/2015,SEVERE WINDSTORM,8/29/2015,8/29/2015,Major Disaster,WA,Washington                    ,Severe Storm(s)
4283,10/8/2016,HURRICANE MATTHEW,10/3/2016,10/19/2016,Major Disaster,FL,Florida                       ,Hurricane
4262,3/7/2016,SEVERE WINTER STORM AND SNOWSTORM,1/22/2016,1/23/2016,Major Disaster,VA,Virginia                      ,Snow
3373,10/3/2015,SEVERE STORMS AND FLOODING,10/1/2015,10/23/2015,Emergency,SC,South Carolina                ,Severe Storm(s)
4281,9/29/2016,SEVERE STORMS STRAIGHT-LINE WINDS AND FLOODING,8/23/2016,8/27/2016,Major Disaster,IA,Iowa                          ,Flood
4256,2/10/2016,SEVERE WINTER STORMS AND FLOODING,12/26/2015,1/5/2016,Major Disaster,OK,Oklahoma                      ,Severe Storm(s)
4299,2/10/2017,SEVERE WINTER STORM,1/13/2017,1/16/2017,Major Disaster,OK,Oklahoma                      ,Severe Storm(s)
4278,8/26/2016,SEVERE STORM TORNADOES FLOODING LANDSLIDES AND MUDSLIDES,7/2/2016,7/9/2016,Major Disaster,KY,Kentucky                      ,Severe Storm(s)
4250,1/21/2016,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,12/23/2015,1/9/2016,Major Disaster,MO,Missouri                      ,Flood
4293,12/15/2016,WILDFIRES,11/28/2016,12/9/2016,Major Disaster,TN,Tennessee                     ,Fire
4272,6/11/2016,SEVERE STORMS AND FLOODING,5/22/2016,6/24/2016,Major Disaster,TX,Texas                         ,Flood
4249,1/15/2016,SEVERE STORMS STRAIGHT-LINE WINDS FLOODING LANDSLIDES AND MUDSLIDES,11/12/2015,11/21/2015,Major Disaster,WA,Washington                    ,Severe Storm(s)
4287,10/20/2016,SEVERE STORMS AND FLOODING,9/2/2016,9/12/2016,Major Disaster,KS,Kansas                        ,Severe Storm(s)
4266,3/19/2016,SEVERE STORMS TORNADOES AND FLOODING,3/7/2016,3/29/2016,Major Disaster,TX,Texas                         ,Flood
4244,10/30/2015,SEVERE STORM,8/27/2015,8/27/2015,Major Disaster,AK,Alaska                        ,Coastal Storm
4284,10/8/2016,HURRICANE MATTHEW,10/4/2016,10/15/2016,Major Disaster,GA,Georgia                       ,Hurricane
4254,2/5/2016,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,12/26/2015,1/22/2016,Major Disaster,AR,Arkansas                      ,Severe Storm(s)
4298,2/1/2017,SEVERE WINTER STORM,12/24/2016,12/26/2016,Major Disaster,SD,South Dakota                  ,Severe Storm(s)
4277,8/14/2016,SEVERE STORMS AND FLOODING,8/11/2016,8/31/2016,Major Disaster,LA,Louisiana                     ,Flood
4253,2/2/2016,SEVERE WINTER STORM STRAIGHT-LINE WINDS FLOODING LANDSLIDES MUDSLIDES AND A T,12/1/2015,12/14/2015,Major Disaster,WA,Washington                    ,Flood
4292,12/2/2016,SEVERE STORMS AND FLOODING,10/20/2016,10/21/2016,Major Disaster,PA,Pennsylvania                  ,Flood
4271,5/24/2016,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,4/15/2016,4/16/2016,Major Disaster,MT,Montana                       ,Severe Storm(s)
4248,1/4/2016,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,12/23/2015,12/28/2015,Major Disaster,MS,Mississippi                   ,Severe Storm(s)
4289,10/31/2016,SEVERE STORMS AND FLOODING,9/21/2016,10/3/2016,Major Disaster,IA,Iowa                          ,Flood
4247,12/29/2015,SEVERE WINTER STORMS AND FLOODING,11/27/2015,11/29/2015,Major Disaster,OK,Oklahoma                      ,Severe Ice Storm
4288,10/20/2016,SEVERE STORMS FLOODING AND MUDSLIDES,9/21/2016,9/22/2016,Major Disaster,WI,Wisconsin                     ,Flood
4267,3/23/2016,SEVERE WINTER STORM AND SNOWSTORM,1/22/2016,1/23/2016,Major Disaster,PA,Pennsylvania                  ,Snow
4245,11/25/2015,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,10/22/2015,10/31/2015,Major Disaster,TX,Texas                         ,Severe Storm(s)
3380,10/7/2016,HURRICANE MATTHEW,10/4/2016,10/24/2016,Emergency,NC,North Carolina                ,Hurricane
4261,3/4/2016,SEVERE WINTER STORM AND SNOWSTORM,1/22/2016,1/23/2016,Major Disaster,MD,Maryland                      ,Snow
4240,9/22/2015,VALLEY FIRE AND BUTTE FIRE,9/9/2015,10/30/2015,Major Disaster,CA,California                    ,Fire
4282,10/6/2016,SEVERE STORMS FLOODING LANDSLIDES AND MUDSLIDES,9/11/2016,9/14/2016,Major Disaster,HI,Hawaii                        ,Mud/Landslide
4259,2/26/2016,SEVERE STORMS AND FLOODING,12/22/2015,1/13/2016,Major Disaster,GA,Georgia                       ,Severe Storm(s)
4239,8/12/2015,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS FLOODING LANDSLIDES AND MUDSLIDE,7/11/2015,7/20/2015,Major Disaster,KY,Kentucky                      ,Severe Storm(s)
3377,10/6/2016,HURRICANE MATTHEW,10/3/2016,10/19/2016,Emergency,FL,Florida,Hurricane
4257,2/17/2016,SEVERE STORM,12/12/2015,12/15/2015,Major Disaster,AK,Alaska                        ,Severe Storm(s)
4297,1/26/2017,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,1/21/2017,1/22/2017,Major Disaster,GA,Georgia                       ,Tornado
4276,8/9/2016,SEVERE STORMS AND FLOODING,7/11/2016,7/12/2016,Major Disaster,WI,Wisconsin                     ,Severe Storm(s)
4252,2/1/2016,SEVERE WINTER STORMS,12/16/2015,12/27/2015,Major Disaster,ID,Idaho                         ,Severe Storm(s)
4296,1/25/2017,SEVERE WINTER STORM AND FLOODING,12/14/2016,12/17/2016,Major Disaster,OR,Oregon                        ,Severe Storm(s)
4273,6/25/2016,SEVERE STORMS FLOODING LANDSLIDES AND MUDSLIDES,6/22/2016,6/29/2016,Major Disaster,WV,West Virginia                 ,Flood
4268,3/25/2016,SEVERE STORMS AND FLOODING,3/9/2016,3/29/2016,Major Disaster,MS,Mississippi                   ,Flood
4246,12/23/2015,SEVERE STORM AND STRAIGHT-LINE WIND,11/17/2015,11/17/2015,Major Disaster,ID,Idaho                         ,Severe Storm(s)
4291,11/2/2016,HURRICANE MATTHEW,10/7/2016,10/15/2016,Major Disaster,VA,Virginia                      ,Hurricane
4270,5/6/2016,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,3/8/2016,3/13/2016,Major Disaster,AR,Arkansas                      ,Severe Storm(s)
3374,1/2/2016,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,12/22/2015,1/9/2016,Emergency,MO,Missouri                      ,Flood
3375,1/16/2016,CONTAMINATED WATER,4/25/2014,8/14/2016,Emergency,MI,Michigan                      ,Toxic Substances
4295,1/25/2017,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,1/20/2017,1/21/2017,Major Disaster,MS,Mississippi                   ,Tornado
4275,8/3/2016,TORNADO,6/11/2016,6/11/2016,Major Disaster,MT,Montana                       ,Tornado
4251,1/21/2016,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,12/23/2015,12/31/2015,Major Disaster,AL,Alabama                       ,Severe Storm(s)
3376,2/5/2016,FLOODING,12/28/2015,2/1/2016,Emergency,LA,Louisiana                     ,Flood
4301,2/14/2017,SEVERE WINTER STORMS FLOODING AND MUDSLIDES,1/3/2017,1/12/2017,Major Disaster,CA,California                    ,Severe Storm(s)
4280,9/28/2016,HURRICANE HERMINE,8/31/2016,9/11/2016,Major Disaster,FL,Florida                       ,Hurricane
4255,2/9/2016,SEVERE WINTER STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,12/26/2016,1/21/2016,Major Disaster,TX,Texas                         ,Severe Storm(s)
4263,3/13/2016,SEVERE STORMS AND FLOODING,3/8/2016,4/8/2016,Major Disaster,LA,Louisiana                     ,Flood
4241,10/5/2015,SEVERE STORMS AND FLOODING,10/1/2015,10/23/2015,Major Disaster,SC,South Carolina                ,Flood
4286,10/11/2016,HURRICANE MATTHEW,10/4/2016,10/30/2016,Major Disaster,SC,South Carolina                ,Hurricane
4265,3/16/2016,SEVERE WINTER STORM AND SNOWSTORM,1/22/2016,1/23/2016,Major Disaster,DE,Delaware                      ,Snow
4243,10/20/2015,WILDFIRES AND MUDSLIDES,8/9/2015,9/10/2015,Major Disaster,WA,Washington                    ,Fire
4258,2/17/2016,SEVERE WINTER STORMS STRAIGHT-LINE WINDS FLOODING LANDSLIDES AND MUDSLIDES,12/6/2015,12/23/2015,Major Disaster,OR,Oregon                        ,Severe Storm(s)
4238,8/7/2015,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,5/15/2015,7/27/2015,Major Disaster,MO,Missouri                      ,Severe Storm(s)
3379,10/6/2016,HURRICANE MATTHEW,10/4/2016,10/15/2016,Emergency,GA,Georgia                       ,Hurricane
4260,3/4/2016,SNOWSTORM,1/22/2016,1/23/2016,Major Disaster,DC,District of Columbia          ,Snow
3372,8/21/2015,WILDFIRES,8/13/2015,9/10/2015,Emergency,WA,Washington                    ,Fire
4237,8/7/2015,SEVERE STORMS STRAIGHT-LINE WINDS AND FLOODING,5/8/2015,5/29/2015,Major Disaster,SD,South Dakota                  ,Severe Storm(s)
4217,5/1/2015,SEVERE STORMS TORNADOES FLOODING LANDSLIDES AND MUDSLIDES,4/2/2015,4/17/2015,Major Disaster,KY,Kentucky                      ,Flood
4232,7/29/2015,SEVERE STORM AND FLOODING,6/9/2015,6/9/2015,Major Disaster,VT,Vermont                       ,Severe Storm(s)
4227,7/7/2015,SEVERE STORMS AND FLOODING,5/24/2015,6/6/2015,Major Disaster,WY,Wyoming                       ,Flood
4229,7/16/2015,SEVERE STORMS TORNADOES FLOODING LANDSLIDES AND MUDSLIDES,5/4/2015,6/16/2015,Major Disaster,CO,Colorado                      ,Flood
4224,6/5/2015,TYPHOON DOLPHIN,5/13/2015,5/16/2015,Major Disaster,GU,Guam                          ,Typhoon
