,disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate
322,1567,,,,,,,,
323,1537,,,,,,,,
324,1562,,,,,,,,
325,1549,89231.0,190193142.59,113359261.47,76833881.12,,,,2019-09-03T00:00:00.000Z
326,1574,,,,,,,,
327,1576,,,,,,,,
328,1565,536.0,1612140.93,1228390.3,383750.63,,,,2019-09-03T00:00:00.000Z
329,1502,487.0,1220484.27,970511.05,249973.22,,,,2019-09-03T00:00:00.000Z
330,1527,35693.0,41314005.89,26912181.7,14401824.19,,,,2019-09-03T00:00:00.000Z
331,1552,159978.0,416500859.48,118993520.93,297507338.55,,,,2019-09-03T00:00:00.000Z
332,1577,10913.0,21484255.07,15066521.04,6417734.03,,,,2019-09-03T00:00:00.000Z
333,1543,,,,,,,,
334,1533,,,,,,,,
335,1568,,,,,,,,
336,1558,4835.0,19308118.5,11920902.36,7387216.14,,,,2019-09-03T00:00:00.000Z
337,1548,3043.0,4252022.77,2779944.79,1472077.98,,,,2019-09-03T00:00:00.000Z
338,1538,6001.0,9961967.69,7947412.69,2014555.0,,,,2019-09-03T00:00:00.000Z
339,1573,9713.0,12352135.45,5247474.19,7104661.26,,,,2019-09-03T00:00:00.000Z
340,1563,457.0,1785198.18,1401112.39,384085.79,,,,2019-09-03T00:00:00.000Z
341,1553,4010.0,13371728.21,10026877.07,3344851.14,,,,2019-09-03T00:00:00.000Z
342,1578,,,,,,,,
343,1582,358.0,2507569.84,1151270.77,1356299.07,,,,2019-09-03T00:00:00.000Z
344,1584,,,,,,,,
345,1612,244.0,885607.65,305110.65,580497.0,,,,2019-09-03T00:00:00.000Z
346,1599,77.0,474304.46,284815.63,189488.83,,,,2019-09-03T00:00:00.000Z
347,1607,177538.0,523284650.26,417487431.21,105797219.05,,,,2019-09-03T00:00:00.000Z
348,1594,,,,,,,,
349,1583,,,,,,,,
350,1597,,,,,,,,
351,1622,,,,,,,,
352,1609,227320.0,342239388.43,150773551.02,191465837.41,,,,2019-09-03T00:00:00.000Z
353,1587,1496.0,3869721.15,3227036.68,642684.47,,,,2019-09-03T00:00:00.000Z
354,1602,,,,,,,,
355,1589,2055.0,8072710.16,5099512.15,2973198.01,,,,2019-09-03T00:00:00.000Z
356,1614,1526.0,3640862.23,3069838.57,571023.66,,,,2019-09-03T00:00:00.000Z
357,1592,,,,,,,,
358,1617,109.0,459715.15,229744.12,229971.03,,,,2019-09-03T00:00:00.000Z
359,1604,274488.0,1293717474.49,875826174.58,417891299.91,,,,2019-09-03T00:00:00.000Z
360,1627,,,,,,,,
361,1653,325.0,542186.19,431234.49,110951.7,,,,2019-09-03T00:00:00.000Z
362,1678,,,,,,,,
363,1643,4418.0,8999191.49,8194081.13,805110.36,,,,2019-09-03T00:00:00.000Z
364,1703,,,,,,,,
365,1668,1753.0,6102556.19,5396714.93,705841.26,,,,2019-09-03T00:00:00.000Z
366,1640,214.0,627043.17,527647.9,99395.27,,,,2019-09-03T00:00:00.000Z
367,1693,1186.0,1996983.07,1834542.4,162440.67,,,,2019-09-03T00:00:00.000Z
368,1603,737609.0,5247169458.98,3745182194.99,1501987263.99,,,,2019-09-03T00:00:00.000Z
369,1629,,,,,,,,
370,1593,4468.0,4457183.03,2100996.87,2356186.16,,,,2019-09-03T00:00:00.000Z
371,1628,2158.0,7031442.71,5331007.59,1700435.12,,,,2019-09-03T00:00:00.000Z
372,1618,,,,,,,,
373,1632,,,,,,,,
374,1648,,,,,,,,
375,1673,,,,,,,,
376,1698,,,,,,,,
377,1634,399.0,1597672.53,818504.04,779168.49,,,,2019-09-03T00:00:00.000Z
378,1598,,,,,,,,
379,1623,196.0,2170143.29,1248362.22,921781.07,,,,2019-09-03T00:00:00.000Z
380,1637,53.0,215839.32,170580.92,45258.4,,,,2019-09-03T00:00:00.000Z
381,1663,,,,,,,,
382,1688,,,,,,,,
383,1624,164.0,1657653.02,805363.38,852289.64,,,,2019-09-03T00:00:00.000Z
384,1588,1011.0,2514186.68,1782783.76,731402.92,,,,2019-09-03T00:00:00.000Z
385,1613,,,,,,,,
386,1638,,,,,,,,
387,1658,1972.0,4604303.23,3601405.13,1002898.1,,,,2019-09-03T00:00:00.000Z
388,1683,,,,,,,,
389,1619,,,,,,,,
390,1645,,,,,,,,
391,1608,,,,,,,,
392,1633,515.0,1067253.81,632984.92,434268.89,,,,2019-09-03T00:00:00.000Z
393,1713,,,,,,,,
394,1718,1200.0,5648799.17,4579273.47,1069525.7,,,,2019-09-03T00:00:00.000Z
395,1655,,,,,,,,
396,1660,,,,,,,,
397,1680,132.0,943028.88,798183.02,144845.86,,,,2019-09-03T00:00:00.000Z
398,1685,268.0,862378.0,699848.72,162529.28,,,,2019-09-03T00:00:00.000Z
399,1710,,,,,,,,
400,1705,979.0,2518434.46,2301656.2,216778.26,,,,2019-09-03T00:00:00.000Z
401,1730,767.0,4461751.16,3627169.48,834581.68,,,,2019-09-03T00:00:00.000Z
402,1735,,,,,,,,
403,1659,570.0,1734450.72,1077205.11,657245.61,,,,2019-09-03T00:00:00.000Z
404,1723,,,,,,,,
405,1684,,,,,,,,
